From,To,Algorithm,Distance,Nodes Expanded,Execution Time,Path Length
"Potsdam, NY","Detroit, IL",UCS (Dijkstra),1010.4,681,8.76,10
"Potsdam, NY","Detroit, IL",A* (Haversine),1010.4,453,7.45,10
"Potsdam, NY","Detroit, IL",A* (Euclidean),1026.5,110,1.92,10
"Potsdam, NY","Detroit, IL",A* (Manhattan),1045.5,140,2.3,10
"Potsdam, NY","Detroit, IL",A* (Min Graph),1010.4,675,8.29,10
"Potsdam, NY","Detroit, IL",A* (Weighted),1010.4,627,9.48,10
"Potsdam, NY","Detroit, IL",Greedy Best-First,1021.2,290,4.88,9
"Potsdam, NY","Detroit, IL",DFS,1021.2,290,1.74,9
"Potsdam, NY","Washington, DC",UCS (Dijkstra),512.1,177,2.4,10
"Potsdam, NY","Washington, DC",A* (Haversine),512.1,118,1.61,10
"Potsdam, NY","Washington, DC",A* (Euclidean),512.1,118,1.35,10
"Potsdam, NY","Washington, DC",A* (Manhattan),530,78,1.12,8
"Potsdam, NY","Washington, DC",A* (Min Graph),512.1,165,1.64,10
"Potsdam, NY","Washington, DC",A* (Weighted),512.1,135,1.67,10
"Potsdam, NY","Washington, DC",Greedy Best-First,530.6,94,1.18,8
"Potsdam, NY","Washington, DC",DFS,562,42,0.24,8
"Potsdam, NY","Columbus, OH",UCS (Dijkstra),623.7,513,8.52,9
"Potsdam, NY","Columbus, OH",A* (Haversine),623.7,318,6.2,9
"Potsdam, NY","Columbus, OH",A* (Euclidean),623.7,164,3.08,9
"Potsdam, NY","Columbus, OH",A* (Manhattan),652.7,115,2.2,8
"Potsdam, NY","Columbus, OH",A* (Min Graph),623.7,501,7.34,9
"Potsdam, NY","Columbus, OH",A* (Weighted),623.7,455,7.73,9
"Potsdam, NY","Columbus, OH",Greedy Best-First,716.1,180,2.88,8
"Potsdam, NY","Columbus, OH",DFS,716.1,754,3.65,8
"Potsdam, NY","Nashville, TN",UCS (Dijkstra),1069.2,790,11.46,13
"Potsdam, NY","Nashville, TN",A* (Haversine),1069.2,582,10.82,13
"Potsdam, NY","Nashville, TN",A* (Euclidean),1069.2,393,7.58,13
"Potsdam, NY","Nashville, TN",A* (Manhattan),1138.1,224,4.24,10
"Potsdam, NY","Nashville, TN",A* (Min Graph),1069.2,766,9.45,13
"Potsdam, NY","Nashville, TN",A* (Weighted),1069.2,696,10.03,13
"Potsdam, NY","Nashville, TN",Greedy Best-First,1143.5,346,5.75,9
"Potsdam, NY","Nashville, TN",DFS,1137.9,737,3.3,11
